Content,Type,Book,Author,Page,Location,Date
“这就是基皮第一定律，”他说，“‘基皮驱逐非基皮’。就像格拉舍姆的劣币驱逐良币定律。那些空房间里头，没有活人在抵抗基皮。”,Highlight,仿生人会梦见电子羊吗？ (菲利普•迪克作品集),菲利普•迪克,702,您在位置 #701-702的标注,2020-04-07 23:03:14
表演总会结束，演员会死去，乐曲的最后一个音符也会沉默。最终，“莫扎特”这个名字也会消失，尘埃会取得最后胜利，,Highlight,仿生人会梦见电子羊吗？ (菲利普•迪克作品集),菲利普•迪克,1042,您在位置 #1041-1042的标注,2020-04-11 07:16:43
不管去哪里，你都不得不做一些错事。这是生命的基本条件，要求你违背自己认同的身份。在某些时候，每个活着的生命都必须这么做。这就是终极的阴影，造物的缺陷。这是终极诅咒，那个吞噬所有生命的诅咒。整个宇宙都是这样。”,Highlight,仿生人会梦见电子羊吗？ (菲利普•迪克作品集),菲利普•迪克,1891,您在位置 #1889-1891的标注,2020-04-23 10:29:20
它们只会识时务地机械地接受即将到来的毁灭，而真正的生命——在二十亿年的生存压力下进化出来的生命——永远不会就这样认命。,Highlight,仿生人会梦见电子羊吗？ (菲利普•迪克作品集),菲利普•迪克,2120,您在位置 #2119-2120的标注,2020-05-05 17:44:07
因为人不吃饭就会死，所以才不得不工作，不得不吃饭。对我而言，再没有比这句话更抽象难懂、更带有威胁性的了。,Highlight,作家榜经典：人间失格,太宰治,63,Your Highlight at location 62-63,2019-09-16 14:37:32
一旦被别人恶言相向，我便觉得别人言之有理，都是自己的错，总是默默地承受别人的攻击，内心感到快要发疯的恐惧。 无论是谁，受人责备或训斥时，心里都会感到不是滋味，但我能从人们暴怒的脸上，发现比狮子、鳄鱼、巨龙还要可怕的动物本性。平常他们说不定都隐藏着这种本性，可一有机会，他们就像温顺地卧在地上歇息的牛，会突然甩动尾巴拍死肚皮上的牛虻一样，在暴怒中暴露出人可怕的本性。看到这一幕，我总是吓得浑身打战。可一旦想到这种本性说不定也是人类活下去的手段之一，我便对自己彻底绝望。,Highlight,作家榜经典：人间失格,太宰治,89,Your Highlight at location 84-89,2019-09-16 14:38:58
一旦被人问起想要什么，刹那间，我反而什么都不想要了。,Highlight,作家榜经典：人间失格,太宰治,104,Your Highlight at location 104-104,2019-09-16 14:39:48
对讨厌的事不能说讨厌，对喜欢的事情也像行窃一样战战兢兢，从而在极度苦涩的滋味和难以言表的痛苦中苦闷得不能自拔。总之，我缺乏在喜欢与厌恶二者之间的选择能力。我想，多年来，恰恰是这种性格，才是我所谓“羞耻无数”的人生的重要原因。,Highlight,作家榜经典：人间失格,太宰治,108,Your Highlight at location 105-108,2019-09-16 14:41:21
无论是诉诸父母，还是诉诸警察，抑或政府，最终不是仍然败给那些老谋深算者的冠冕之词吗？,Highlight,作家榜经典：人间失格,太宰治,150,Your Highlight at location 149-150,2019-09-16 14:43:28
控诉他人的手段于我永远是无法期待的。无论是诉诸父母，还是诉诸警察，抑或政府，最终不是仍然败给那些老谋深算者的冠冕之词吗？,Highlight,作家榜经典：人间失格,太宰治,150,Your Highlight at location 149-150,2019-09-16 14:43:33
世间的不公平是必然存在的，我十分清楚。归根结底，诉诸他人终究都是徒劳。,Highlight,作家榜经典：人间失格,太宰治,151,Your Highlight at location 150-151,2019-09-16 14:43:37
彼此欺骗，却又神奇地彼此毫发无伤，就像没有察觉到互相欺骗一样，这种显而易见、通透明朗的不信任案例，在人类的生活中比比皆是。,Highlight,作家榜经典：人间失格,太宰治,162,Your Highlight at location 161-162,2019-09-16 14:44:23
我实在难以理解那些彼此欺骗，却又能通透明朗地活着，以及有信心活下去的人。,Highlight,作家榜经典：人间失格,太宰治,164,Your Highlight at location 163-164,2019-09-16 14:44:52
对人类极度恐惧的人，反而更希望见识一下可怕的妖怪心理，与越是神经质的胆怯之人，越是祈望暴风雨来得更猛烈的心理如出一辙。,Highlight,作家榜经典：人间失格,太宰治,273,Your Highlight at location 272-273,2019-09-16 14:49:48
我不相信神的恩宠，只相信神的惩罚。所谓的信仰，不过是为了接受神的鞭笞，而俯首走向审判台。我相信地狱，但不相信天国的存在。,Highlight,作家榜经典：人间失格,太宰治,729,Your Highlight at location 728-729,2019-09-16 15:11:14
“‘现在人类社会的法律中，禁止暴力攻击他人，可是令人震惊的是语言暴力没有被禁止。语言暴力是合法的。理所当然的，使用它的人就有很多。你的人生里所承受最多的就是语言暴力。这是最常见的问题，所以必须要找到解决方法才行。,Highlight,侦探AI,早坂吝,1097,您在位置 #1095-1097的标注,2021-07-04 19:45:27
“人惟有恐惧的时候方能勇敢。”父亲告诉他，“你知道为什么我要杀他？”,Highlight,冰与火之歌卷一：1权力的游戏（上）,乔治 R•R•马丁(Martin.G.R.R.),309,Your Highlight at location 308-309,2019-09-02 16:50:19
如果你要取人性命，至少应该注视他的双眼，聆听他的临终遗言。倘若做不到这点，那么或许他罪不致死。”,Highlight,冰与火之歌卷一：1权力的游戏（上）,乔治 R•R•马丁(Martin.G.R.R.),316,Your Highlight at location 315-316,2019-09-02 16:50:51
统治者若是躲在幕后，付钱给刽子手执行，很快就会忘记死亡为何物。”,Highlight,冰与火之歌卷一：1权力的游戏（上）,乔治 R•R•马丁(Martin.G.R.R.),319,Your Highlight at location 318-319,2019-09-02 16:51:10
国王做梦，”他说，“首相筑梦。”,Highlight,冰与火之歌卷一：1权力的游戏（上）,乔治 R•R•马丁(Martin.G.R.R.),804,Your Highlight at location 804-804,2019-09-03 10:39:27
“有人说这里的冬天太冷，人若是笑了，声音会冻结在喉咙里，直到把人活活噎死。”奈德平静地说，“或许这就是为什么我们史塔克家人甚少有幽默感。”,Highlight,冰与火之歌卷一：1权力的游戏（上）,乔治 R•R•马丁(Martin.G.R.R.),809,Your Highlight at location 807-809,2019-09-03 10:39:43
永远不要忘记自己是谁，因为这个世界不会忘记。你要化阻力为助力，如此一来才没有弱点。用它来武装自己，就没有人可以用它来伤害你。”,Highlight,冰与火之歌卷一：1权力的游戏（上）,乔治 R•R•马丁(Martin.G.R.R.),957,Your Highlight at location 955-957,2019-09-03 10:57:44
不过人若要保持思路清晰锐利，就得多读书，就好像宝剑需要磨刀石一样。”,Highlight,冰与火之歌卷一：1权力的游戏（上）,乔治 R•R•马丁(Martin.G.R.R.),1973,Your Highlight at location 1972-1973,2019-09-03 14:01:02
一旦别人发现绰号对你的杀伤力，这绰号就跟定你啦。既然他们爱给你起绰号，你就大大方方地接受，最好还装出乐在其中的样子，那他们就再也伤不了你了。”,Highlight,冰与火之歌卷一：1权力的游戏（上）,乔治 R•R•马丁(Martin.G.R.R.),2932,Your Highlight at location 2931-2932,2019-09-03 14:41:04
我们就是应该借鉴他人，改正自己。也就是说并不是往下看，而是要抬头看伸手够不着的高处。人如果没有‘自己必须到那里去’的决心的话，就只会一直堕落下去而已！”,Highlight,凉宫春日的分裂,谷川流,174,您在第 174 页（位置 #2663-2664）的标注,2020-05-13 05:42:49
得有似曾相识的感觉，那么首先就要逆向思考，只有这样才有可能产生新的东西，对吧？”,Highlight,凉宫春日的愤慨,谷川流,2,您在第 2 页（位置 #21-21）的标注,2020-03-10 22:57:09
所谓的智慧。” 她停了一会，继续说到。 “是根据自身对收集回来的、积蓄来的资讯的处理能力水平而判定的。”,Highlight,凉宫春日的愤慨,谷川流,158,您在第 158 页（位置 #2411-2413）的标注,2020-03-13 12:10:52
这些年轻又充满朝气的学生，抬头挺胸地走在红砖道上，他们一定都有着充实的童年生活吧。他们从小相信世界上真的有灰姑娘和阿拉丁神灯的存在，并透过龙猫了解到自然生态保护的重要性。,Highlight,剪刀男【独家首发！被誉为“日本百年最佳推理小说top10”！横扫日本榜单！豆瓣8.3，评论超七千！同名电影由东野圭吾御用男主角阿部宽领衔主演，火爆全球！】 (千本樱文库),殊能将之,374,您在位置 #372-374的标注,2022-01-24 21:21:45
遇到DTP①科技的叛变也束手无策。对于科技这种东西，不留心是不行的，因为它们是违反动物本能的。,Highlight,剪刀男【独家首发！被誉为“日本百年最佳推理小说top10”！横扫日本榜单！豆瓣8.3，评论超七千！同名电影由东野圭吾御用男主角阿部宽领衔主演，火爆全球！】 (千本樱文库),殊能将之,432,您在位置 #430-432的标注,2022-01-24 21:23:55
对于科技这种东西，不留心是不行的，因为它们是违反动物本能的。,Highlight,剪刀男【独家首发！被誉为“日本百年最佳推理小说top10”！横扫日本榜单！豆瓣8.3，评论超七千！同名电影由东野圭吾御用男主角阿部宽领衔主演，火爆全球！】 (千本樱文库),殊能将之,432,您在位置 #431-432的标注,2022-01-24 21:23:59
自杀未遂的人之所以被人讨厌有两个原因。第一个原因是他们通过自杀的手段企图支使他人。最典型的例子，就是那种会大叫要分手的话不如让我死了，然后用剃刀划自己手腕的人。他们觉得自己敢尝试自杀这种别人不敢做的事情，所以大家都得听他的，以自杀行为要别人接受他这种歪理。”,Highlight,剪刀男【独家首发！被誉为“日本百年最佳推理小说top10”！横扫日本榜单！豆瓣8.3，评论超七千！同名电影由东野圭吾御用男主角阿部宽领衔主演，火爆全球！】 (千本樱文库),殊能将之,509,您在位置 #507-509的标注,2022-01-25 22:02:59
可以吃下任何东西而死，却不可能因为不吃任何东西而死。,Highlight,剪刀男【独家首发！被誉为“日本百年最佳推理小说top10”！横扫日本榜单！豆瓣8.3，评论超七千！同名电影由东野圭吾御用男主角阿部宽领衔主演，火爆全球！】 (千本樱文库),殊能将之,603,您在位置 #602-603的标注,2022-01-26 08:19:56
我的心里，一片空虚。 我的外在，也是一片空虚。 有两种不同的空虚，而两者之间的界线，就是我。,Highlight,剪刀男【独家首发！被誉为“日本百年最佳推理小说top10”！横扫日本榜单！豆瓣8.3，评论超七千！同名电影由东野圭吾御用男主角阿部宽领衔主演，火爆全球！】 (千本樱文库),殊能将之,1356,您在位置 #1355-1356的标注,2022-02-01 13:32:44
“死亡和睡眠就像亲兄弟的意思，最早提出这种说法的是古希腊诗人荷马（Homeros），而这两个字的确非常相近。名词的‘死亡’和‘睡眠’、动词的‘死’和‘睡’、描述状态的‘死亡了’和‘睡着了’都有彼此对应的词汇，但是在描述死亡状态的词里，却找不到像‘困的’一样的形容词。,Highlight,剪刀男【独家首发！被誉为“日本百年最佳推理小说top10”！横扫日本榜单！豆瓣8.3，评论超七千！同名电影由东野圭吾御用男主角阿部宽领衔主演，火爆全球！】 (千本樱文库),殊能将之,1734,您在位置 #1732-1734的标注,2022-02-08 21:13:16
白云之上如果就是天堂，那么降下来的为什么是雨，而不是金币或宝石？难道天堂里都是水吗？”,Highlight,剪刀男【独家首发！被誉为“日本百年最佳推理小说top10”！横扫日本榜单！豆瓣8.3，评论超七千！同名电影由东野圭吾御用男主角阿部宽领衔主演，火爆全球！】 (千本樱文库),殊能将之,1755,您在位置 #1754-1755的标注,2022-02-08 21:15:11
为什么人类总是喜欢把潜意识比喻成下面、深处的、最底层、阴暗的角落？我想那不过是因为人类生活在阳光之下、地面之上的关系而已。如果是土拨鼠，一定会觉得潜意识是在上面、光亮的地方。”,Highlight,剪刀男【独家首发！被誉为“日本百年最佳推理小说top10”！横扫日本榜单！豆瓣8.3，评论超七千！同名电影由东野圭吾御用男主角阿部宽领衔主演，火爆全球！】 (千本樱文库),殊能将之,1766,您在位置 #1764-1766的标注,2022-02-08 21:15:54
矶部心想，他身为一个警察，怎么可以没有看过就一味瞧不起推理小说？这不就像银行员瞧不起经济小说、谈恋爱的人瞧不起爱情小说、野兔瞧不起童话故事？,Highlight,剪刀男【独家首发！被誉为“日本百年最佳推理小说top10”！横扫日本榜单！豆瓣8.3，评论超七千！同名电影由东野圭吾御用男主角阿部宽领衔主演，火爆全球！】 (千本樱文库),殊能将之,2017,您在位置 #2016-2017的标注,2022-02-08 21:25:06
都想找到自己能够认同的理由，不愿意接受没有任何原因就杀人的事实。即使确实有这样的人出现，大家还是想找出任何意义或是理由，深入探索无动机杀人魔的心理状况。”,Highlight,剪刀男【独家首发！被誉为“日本百年最佳推理小说top10”！横扫日本榜单！豆瓣8.3，评论超七千！同名电影由东野圭吾御用男主角阿部宽领衔主演，火爆全球！】 (千本樱文库),殊能将之,2088,您在位置 #2087-2088的标注,2022-02-08 21:27:58
“人之所以不杀人，只是因为一些微不足道的原因，像是亲眼目睹死亡时的不快感、血液的味道令人恶心、触摸到尸体时的阴森感等等的琐碎理由，而不是什么伦理道德。这样的观念，只要简单的一个翻转，就会引起错乱的喜悦。因为违反禁忌，所以愉悦；因为脱离常轨，所以喜悦；因为错乱，而以为自己是特殊的存在。像这样的人，满街都是。”,Highlight,剪刀男【独家首发！被誉为“日本百年最佳推理小说top10”！横扫日本榜单！豆瓣8.3，评论超七千！同名电影由东野圭吾御用男主角阿部宽领衔主演，火爆全球！】 (千本樱文库),殊能将之,3268,您在位置 #3265-3268的标注,2022-02-10 22:59:15
抬头看看天空，你看到的是伊米尔的头盖骨内壁。晚上看到的恒星、行星、彗星和流星，都是从穆斯帕尔飞溅起的火花。你白天看到的云彩是什么？它们曾是伊米尔的脑子，哪怕到了现在，谁又知道它们在想什么呢？,Highlight,北欧众神,尼尔·盖曼,184,Your Highlight on page 14 | location 182-184,2019-09-27 11:01:52
命运女神诸诺恩在那儿，聪慧的三姐妹看守着这眼泉水，悉心照顾它，并让泥土包裹着伊格德拉西尔的树根。这眼泉属于乌尔德，她是命数，是命运，是你的过去。和她一起的是维尔丹尼，她的名字意味着“正在形成”——她是现在。还有斯古尔特，她的名字意味着“那些想要的”，她代表着未来。这些诺恩们会决定你的生命。,Highlight,北欧众神,尼尔·盖曼,236,Your Highlight on page 22 | location 233-236,2019-09-27 11:03:14
洛基就是这样。哪怕在你最心怀感激的时候，你也是恨他的；而哪怕在你最恨他的时候，你也仍然要感激他。,Highlight,北欧众神,尼尔·盖曼,444,Your Highlight on page 46 | location 443-444,2019-09-27 11:11:55
这个孩子将成为最深的黑暗地域的统领者，九大世界所有死者的统领者。她将是那些没能英勇战死在战场上的可怜死者魂魄的皇后，所有死于疾病、年迈、事故或生产的亡灵的皇后。在战斗中英勇死去的战士当然将进入瓦尔海拉。但那些死于其他死法的，则将变成她的子民，在黑暗中服侍她。”,Highlight,北欧众神,尼尔·盖曼,688,Your Highlight on page 72 | location 685-688,2019-09-27 13:48:44
兄弟相杀。父子互戮。母女彼此背叛。姐妹们在战斗中反目成仇，并冷眼看待她们的子女相残。,Highlight,北欧众神,尼尔·盖曼,2303,Your Highlight on page 238 | location 2302-2303,2019-09-29 09:42:41
这将是残忍当道的年代，是人化身豺狼、将彼此视作猎物的年代，是人和野兽毫无区分的年代。黄昏降临于世，人们居住的地方将成为废墟。它们会被火焰短暂地吞噬，然后以摧枯拉朽之势坍塌成为灰烬。,Highlight,北欧众神,尼尔·盖曼,2305,Your Highlight on page 238 | location 2303-2305,2019-09-29 09:42:53
这不是一切的终结。一切不会终结。这只是旧时代的终结，洛基，这也就是新时代的开始。重生总随死亡而来。你败了。”,Highlight,北欧众神,尼尔·盖曼,2393,Your Highlight on page 245 | location 2392-2393,2019-09-29 09:47:14
这就是世界将如何终结的故事，在灰尘和洪水之中，在黑暗和寒冰之中。这就是众神最终的命运。,Highlight,北欧众神,尼尔·盖曼,2403,Your Highlight on page 246 | location 2402-2403,2019-09-29 09:50:23
其实“一见钟情”换言之也就是“只看到女孩子的外表”呢——她的名字、她的性格、她喜欢什么样的电影、常去什么样的小店，以及怀有什么样的梦想……连这些都还全然不知就喜欢上对方，根本就属于自说自话、一厢情愿。因此我不认为这是真正的恋爱之情；而真正的恋爱，我想，一定得醉心于对方心灵。,Highlight,午夜零点的灰姑娘【日本重量奖”第3届蔷薇之城福山推理小说“新人奖作品！8段访谈揭开一个家庭的诡异真相，媲美凑佳苗《告白》、宫部美雪《理由》的致郁文学！读到最后才会抵达终点的悬疑！】 (千本樱文库),相泽沙呼,71,您在位置 #68-71的标注,2022-07-26 15:59:40
我认为自杀就是这么一回事。人一死，就没法对任何人回话，即是把全部都推卸给活着的人，之后便什么都不管，和自闭‘家里蹲’是一个性质的。等于在说‘我的事已经无所谓了，你们怎么想都可以，这是你们的自由’。”,Highlight,午夜零点的灰姑娘【日本重量奖”第3届蔷薇之城福山推理小说“新人奖作品！8段访谈揭开一个家庭的诡异真相，媲美凑佳苗《告白》、宫部美雪《理由》的致郁文学！读到最后才会抵达终点的悬疑！】 (千本樱文库),相泽沙呼,201,您在第 201 页（位置 #2848-2850）的标注,2022-08-19 22:27:53
因此，不必因为无法靠语言与对方心意互通的可能性而感到犹豫，失败也是常有的。然而，我们是生于不完美世界的不完美之人，所以必定会遭遇失败。届时，只要一点点学习各种事物，而后待下次发挥即可。说来有些难为情，确实，这也许只是幼稚的理想主义，因此我们有时就是会徒劳行事，会被刺伤内心，会在不可靠的道路上前行。[34],Highlight,午夜零点的灰姑娘【日本重量奖”第3届蔷薇之城福山推理小说“新人奖作品！8段访谈揭开一个家庭的诡异真相，媲美凑佳苗《告白》、宫部美雪《理由》的致郁文学！读到最后才会抵达终点的悬疑！】 (千本樱文库),相泽沙呼,243,您在第 243 页（位置 #3475-3479）的标注,2022-08-19 22:46:09
即使做了这些，或许也不会有任何改变。可是，不付诸尝试便无法知道结果，不诉诸语言便无法传达心意——毕竟，人类就是如此笨拙。 不需要有什么特别的理由，我们有时只因日常遭遇的点滴小事便会深受伤害，会背负起无法忘却的伤痛。这样的人有许多，,Highlight,午夜零点的灰姑娘【日本重量奖”第3届蔷薇之城福山推理小说“新人奖作品！8段访谈揭开一个家庭的诡异真相，媲美凑佳苗《告白》、宫部美雪《理由》的致郁文学！读到最后才会抵达终点的悬疑！】 (千本樱文库),相泽沙呼,243,您在第 243 页（位置 #3472-3475）的标注,2022-08-19 22:47:00
那么，成长是多么罪孽深重啊。 杀了过去的某个人，养育了与自己非常相似的新的某个人，难道不是这种行为的重复吗？,Highlight,君主·埃尔梅罗二世的冒险 Vol.4 炼金术师的遗产（上） - 三田诚,三田诚,2288,Your Highlight at location 2287-2288,2024-08-29 11:32:36
「Look at the sky（仰望苍天）。Embrace your destiny（汝命运之所在）,Highlight,君主·埃尔梅罗二世的冒险 Vol.4 炼金术师的遗产（上） - 三田诚,三田诚,2707,Your Highlight at location 2706-2707,2024-08-30 17:06:55
Green 7（翠之七番）.Red 8（红之八番）.Indigo 9（蓝之九番）.Trinitarian truths overturn the celestial sphere（服从三位一体之戒律）.For your queen（为汝之女王）！,Highlight,君主·埃尔梅罗二世的冒险 Vol.4 炼金术师的遗产（上） - 三田诚,三田诚,2712,Your Highlight at location 2711-2712,2024-08-30 17:07:50
“而且是一位生与死之神。既是植物之神，又因被自己的弟弟杀害而成为了连神都化为虚无的冥界之神。同时，他也是生命之神，管理着尼罗河之水，并通过授予他们托特的智慧来拯救饥饿的人们。库尔德里斯将其视为避免世界灭亡的演算机器是很恰当的。更重要的是，这个神也是第一个成为木乃伊的神。将其伪装在法老的棺材里让其入睡，也可以说是恰当的处理。”,Highlight,君主·埃尔梅罗二世的冒险 Vol.5 炼金术师的遗产（下）,三田 誠;TYPE-MOON;坂本みねぢ,3262,Your Highlight at location 3258-3262,2024-08-31 06:42:04
在此起誓 吾愿成就世间一切之善行 吾愿诛尽世间一切之恶性” 埃尔戈也再次唱起那个咒文。 施展魔力。 将所有的魔力注入手中的杯子。 “汝为身缠三大言灵之七天”,Highlight,君主·埃尔梅罗二世的冒险 Vol.5 炼金术师的遗产（下）,三田 誠;TYPE-MOON;坂本みねぢ,3323,Your Highlight at location 3319-3323,2024-08-31 06:43:05
所谓的好咖啡，即是如恶魔般漆黑、如地狱般滚烫、如天使般纯粹，同时如恋爱般甘甜。,Highlight,咖啡馆推理事件簿系列（全四本）,SoBooKs.cc （日）冈崎琢磨,95,您在位置 #94-95的标注,2022-02-15 22:30:21
要相信自己的直觉，把有趣的、炫酷的、美丽的、可爱的、想要的、想尝试的、能让工作生活更方便的事物和想去的地点不断记录和粘贴在笔记本上。,Highlight,如何有效整理信息（谷臻小简·AI导读版）（本书累计销售超过50万册！只用一册白菜价的笔记本，一网打尽生活中易遗漏的宝贵信息。）,奥野宣之,7,您在第 7 页（位置 #40-42）的标注,2022-10-05 22:18:19
无法拿出笔记本时，可以暂时把要记的东西写在触手可及的纸张上，稍后粘贴在笔记本上。,Highlight,如何有效整理信息（谷臻小简·AI导读版）（本书累计销售超过50万册！只用一册白菜价的笔记本，一网打尽生活中易遗漏的宝贵信息。）,奥野宣之,10,您在第 10 页（位置 #67-68）的标注,2022-10-05 22:19:12
葱鲔火锅式”笔记采访自己 具体做法如下： 1. 将他人的发言、通过观察得到的信息等“来源于外部的信息”标上圈后再逐条书写； 2. 对这些信息产生的感想、自己想说的话，用五角星标记后再写； 3. 不断重复前两项。 能成为知识生产核心的，只有能打动自己的东西，和对其产生问题与想法的主观意识。,Highlight,如何有效整理信息（谷臻小简·AI导读版）（本书累计销售超过50万册！只用一册白菜价的笔记本，一网打尽生活中易遗漏的宝贵信息。）,奥野宣之,13,您在第 13 页（位置 #102-106）的标注,2022-10-05 22:20:44
文件等资料要坚持“只要想不通就先贴上”的原则。根本不需要花时间去考虑要不要贴，只要有想贴的，就干脆利落地贴上去。,Highlight,如何有效整理信息（谷臻小简·AI导读版）（本书累计销售超过50万册！只用一册白菜价的笔记本，一网打尽生活中易遗漏的宝贵信息。）,奥野宣之,16,您在第 16 页（位置 #130-131）的标注,2022-11-21 23:01:45
1. 实线：有意思的、客观重要的部分 2. 波浪线：非常有意思、主观重要的部分；名言、著名台词 3. 圆圈：想记住的重要的专有名词，关键词，关键的数字，等等。 另外，当有什么感想的时候，将其写在旁边空白的,Highlight,如何有效整理信息（谷臻小简·AI导读版）（本书累计销售超过50万册！只用一册白菜价的笔记本，一网打尽生活中易遗漏的宝贵信息。）,奥野宣之,18,您在第 18 页（位置 #144-147）的标注,2022-11-21 23:02:22
推荐的方法是，在日常生活中，要经常写日志，内容包括以下三类。 1. 睡眠时间简化为S 2. 吃过的东西简化为E 3. 读过的书简化为,Highlight,如何有效整理信息（谷臻小简·AI导读版）（本书累计销售超过50万册！只用一册白菜价的笔记本，一网打尽生活中易遗漏的宝贵信息。）,奥野宣之,20,您在第 20 页（位置 #167-169）的标注,2022-11-21 23:02:45
步骤1：收集——积累常识与作为研究课题的知识 步骤2：咀嚼——阅读、回想、深入思考积累的信息 步骤3：发酵——脱离课题，在潜意识层面思考 步骤4：顿悟——创意的诞生，突然之间惊呼“明白了！”“找到了！” 步骤5：具体化——将创意化为成果,Highlight,如何有效整理信息（谷臻小简·AI导读版）（本书累计销售超过50万册！只用一册白菜价的笔记本，一网打尽生活中易遗漏的宝贵信息。）,奥野宣之,23,您在第 23 页（位置 #198-202）的标注,2022-11-22 08:55:30
我希望有一天社会主义能让劳动人民过上好日子，但同时他们也需要获得安慰。”,Highlight,巨人的陨落（读客熊猫君出品，肯福莱特世纪三部曲第一部！全球读者平均3个通宵读完的超级小说巨著！）,肯·福莱特,1214,Your Highlight at location 1213-1214,2019-09-23 16:31:51
我们死在一起，也不能放弃美好生活的希望。”,Highlight,巨人的陨落（读客熊猫君出品，肯福莱特世纪三部曲第一部！全球读者平均3个通宵读完的超级小说巨著！）,肯·福莱特,1615,Your Highlight at location 1614-1615,2019-09-23 16:51:44
从自由的美国人那里学习民主，从狡猾的英国人那里学习外交策略，从时尚的法国人那里学习高雅的生活艺术。,Highlight,巨人的陨落（读客熊猫君出品，肯福莱特世纪三部曲第一部！全球读者平均3个通宵读完的超级小说巨著！）,肯·福莱特,2036,Your Highlight at location 2034-2036,2019-09-24 09:12:33
她的脸庞如洋娃娃一般精致完美，在晦暗的房间里也能看得出那苍白的肤色，更为她增添了一种非生物的印象。黑色长发靠近发梢的地方略带拳曲，呈柔和的波浪形。黑发反射着烛焰的光线，一根根都散发着毛发表层的光泽，似乎仅有这一点，算得上她属于生命体的证据。,Highlight,心灵侦探城塚翡翠,相泽沙呼,141,您在位置 #139-141的标注,2021-06-14 12:33:33
“荣格的集体潜意识论吧，这可能是从人类共通的潜意识底层里相关原型产生的联想。如果这个假设成立，世界各地的人类抱有同样的想象，似乎也不能算特别神奇……”,Highlight,心灵侦探城塚翡翠,相泽沙呼,548,您在位置 #547-548的标注,2021-06-14 12:49:25
“可以做到不杀人的人，只不过是没有遇到那种不幸罢了，人与人之间恐怕并不存在特殊的差别，”香月深深地叹了一口气，“谁都有可能因为一点小事犯下杀戒。有些人不必经历这一切，但那仅仅是运气比较好罢了。我们靠这一点点差别而苟活着。”,Highlight,心灵侦探城塚翡翠,相泽沙呼,1684,您在位置 #1681-1684的标注,2021-06-14 16:09:46
“魔术中最关键的并非戏法本身，而是如何展示戏法。比方说，我和老师第一次碰面的时候，我扮演的是戴着假面的城塚翡翠。当人亲自揭开谜底、发现秘密的时候，总是不会去深思，是不是还有更深一层的迷局或是秘密，真是愚蠢啊。那次老师碰巧发现了在车站前被几个男人搭讪而慌乱的我。于是老师便很偶然地知晓了，‘城塚翡翠’其实戴着一层假面这个秘密。那个带有神秘感的翡翠是假装的，其实她本人对于自己的超能力时常苦恼困惑，是个笨拙但又可爱的孤独女子……这样一来，老师便毫无根据地觉得，我这个人没有更多的秘密了。”,Highlight,心灵侦探城塚翡翠,相泽沙呼,3239,您在位置 #3234-3239的标注,2021-06-15 15:26:45
“魔术中最关键的并非戏法本身，而是如何展示戏法。比方说，我和老师第一次碰面的时候，我扮演的是戴着假面的城塚翡翠。当人亲自揭开谜底、发现秘密的时候，总是不会去深思，是不是还有更深一层的迷局或是秘密，真是愚蠢啊。那次老师碰巧发现了在车站前被几个男人搭讪而慌乱的我。于是老师便很偶然地知晓了，‘城塚翡翠’其实戴着一层假面这个秘密。那个带有神秘感的翡翠是假装的，其实她本人对于自己的超能力时常苦恼困惑，是个笨拙但又可爱的孤独女子……这样一来，老师便毫无根据地觉得，我这个人没有更多的秘密了。”,Highlight,心灵侦探城塚翡翠,相泽沙呼,3239,您在位置 #3234-3239的标注,2021-06-21 22:36:46
“魔术里的这种心理小技巧是不是也可以挪用到推理小说上呢？先提出几个比较简单的谜题，故意让读者自己解读出来，然后引而不发，让故事继续进行，最后展示出完全不同的答案，或是揭示出最大的谜底。”,Highlight,心灵侦探城塚翡翠,相泽沙呼,3242,您在位置 #3240-3242的标注,2021-06-15 15:26:59
“魔法，只有在适当的时机施展出来，才可称其为魔法。,Highlight,心灵侦探城塚翡翠,相泽沙呼,3246,您在位置 #3245-3246的标注,2021-06-15 15:27:18
“在我们所处的日常生活里，并不存在侦探。不会有任何人跳出来仔细嘱咐你：那里不大对劲，这个值得考虑，那个看起来怪怪的……我们在自己所生活的日常里应该去思考什么，应该觉得什么不对，都必须通过自己的眼睛来判断。你看不出哪里不对劲？问题太琐碎所以没有必要思考？不值得思考？真的吗？”,Highlight,心灵侦探城塚翡翠,相泽沙呼,3292,您在位置 #3289-3292的标注,2021-06-15 15:28:58
通往真相的逻辑只有一个，世上并不存在这样的道理。这是个有趣的发现。我不禁开始猜想，这个世上的推理小说里，会不会在侦探所用的方法以外，还存在用隐藏线索确定凶手身份的作品呢？”,Highlight,心灵侦探城塚翡翠,相泽沙呼,3404,您在位置 #3403-3404的标注,2021-06-15 15:33:23
天主认为“人在奋斗时，难免迷误”，但也坚信“善人虽受模糊的冲动驱使，总会意识到正确的道路”。,Highlight,浮士德 (译文名著精选),J.W.歌德 (J.W.Goethe),66,Your Highlight at location 65-66,2019-10-14 10:02:42
